ligand,receptor,source,target,label
FGF18,FGFR1,O76093,P11362,1
SEMA3F,NRP2,Q13275,O60462,1
CSF3,CSF3R,P09919,Q99062,1
GLS2_SLC1A2,GRIK3,COMPLEX:P43004_Q9UI32,Q13003,1
THBS1,ITGA6,P07996,P23229,1
VCAM1,ITGAD,P19320,Q13349,1
DDC,DRD3,COMPLEX:P20711,P35462,1
TENM4,ADGRL1,Q6N022,O94910,1
FGF9,FGFR4,P31371,P22455,1
NOTCH3,JAG2,Q9UM47,Q9Y219,1
CTSG,PARD3,P08311,Q8TEW0,1
SLIT2,GPC1,O94813,P35052,1
AFDN,NECTIN1,P55196,Q15223,1
NPFF,NPFFR2,O15130,Q9Y5X5,1
CDH5,CDH5,P33151,P33151,1
L1CAM,CNTN1,P32004,Q12860,1
CCL2,ACKR1,P13500,Q16570,1
SEMA3A,NRP1_PLXNA1,Q14563,O14786_Q9UIW2,1
SERPINF1,WNT7B,P36955,P56706,1
GAD2_SLC6A12,GABRA5_GABRB3_GABRG2,COMPLEX:P48065_Q05329,NA_NA_NA,1
GLS_SLC1A1,GRIA4,COMPLEX:O94925_P43005,P48058,1
ADM,TSHR,P35318,P16473,1
CALM1,MYLK,P0DP23,Q15746,1
GAD2_SLC6A1,GABRA1_GABRB3_GABRG2,COMPLEX:P30531_Q05329,NA_NA_NA,1
CCL3,CCR1,P10147,P32246,1
IL13,A0A2R8YE73,P35225,A0A2R8YE73,1
MDK,SDC3,P21741,O75056,1
LEFTY2,TGFB1,O00292,P01137,1
EPHA1,EFNA3,P21709,P52797,1
GDF11,ACVR1B_ACVR2B,O95390,P36896_Q13705,1
HLA-DMA,CD4,P28067,P01730,1
TREM2,SEMA6D,Q9NZC2,Q8NFY4,1
COL6A1,GP6,P12109,Q9HCN6,1
GLS_SLC17A8,GRIK2_GRIK4,COMPLEX:O94925_Q8NDX2,Q13002_NA,1
GPC3,CD81,P51654,P60033,1
LAMC3,ITGA2,Q9Y6N6,P17301,1
GLS_SLC17A8,GRIK3,COMPLEX:O94925_Q8NDX2,Q13003,1
LAMA3,CD44,Q16787,P16070,1
LILRB1,HLA-G,Q8NHL6,P17693,1
LEFTY2,TGFB3,O00292,P10600,1
BAMBI,FZD10_LRP5,Q13145,Q9ULW2_O75197,1
COL6A1,ITGAV_ITGB8,P12109,P06756_P26012,1
NRG3,ERBB4,P56975,Q15303,1
GLS_SLC1A1,GRIK1_GRIK4,COMPLEX:O94925_P43005,P39086_NA,1
GLS_SLC1A3,GRIA3,COMPLEX:O94925_P43003,P42263,1
GDF10,ACVR2A,P55107,P27037,1
COL4A3,GP6,Q01955,Q9HCN6,1
KNG1,BDKRB1,P01042,P46663,1
CALCB,CALCR,P10092,P30988,1
PDYN,OPRD1,P01213,P41143,1
SEMA6D,TYROBP,Q8NFY4,O43914,1
GLS2_SLC1A3,GRM7,COMPLEX:P43003_Q9UI32,Q14831,1
GAL,GPR151,P22466,Q8TDV0,1
DDC,HTR2B,COMPLEX:P20711,P41595,1
DDC,HTR3D,COMPLEX:P20711,Q70Z44,1
HLA-C,SLC9C2,P10321,Q5TAH2,1
TPH1,HTR6,P17752,P50406,1
GLS2_SLC1A2,GRM4,COMPLEX:P43004_Q9UI32,Q14833,1
CD14,TLR4,P08571,O00206,1
WNT8B,FZD9_LRP5,Q93098,O00144_O75197,1
