ligand,receptor,source,target,label
BMP15,BMPR1B_BMPR2,O95972,O00238_Q13873,1
LAMB2,ITGA2_ITGB1,P55268,P17301_P05556,1
GLS2_SLC17A6,GRIK2_GRIK4,COMPLEX:Q9P2U8_Q9UI32,Q13002_NA,1
GLS2_SLC1A6,GRM8,COMPLEX:P48664_Q9UI32,O00222,1
IL2,IL2RG,P60568,P31785,1
WNT3,FZD3_LRP5,P56703,Q9NPG1_O75197,1
WNT1,FZD3,P04628,Q9NPG1,1
RNF43,FZD6_LRP5,Q68DV7,O60353_O75197,1
BOC,PTCH2_SMO,Q9BWV1,Q9Y6C5_Q99835,1
FN1,FLT4,P02751,P35916,1
HEBP1,MTNR1A,Q9NRV9,P48039,1
PTDSS1,SCARB1,P48651,Q8WTV0,1
GLS_SLC1A7,GRIK2_GRIK5,COMPLEX:O00341_O94925,Q13002_NA,1
WNT2B,FZD1_LRP6,Q93097,Q9UP38_O75581,1
KRTAP4-12,CLDN2,Q9BQ66,P57739,1
TGM2,ITGA9,P21980,Q13797,1
CCL22,ACKR2,O00626,O00590,1
WNT11,FZD6,O96014,O60353,1
CALCB,ADCYAP1R1,P10092,P41586,1
GALP,GALR1,Q9UBC7,P47211,1
AGRN,LRP4,O00468,O75096,1
LAMC2,ITGA7_ITGB1,Q13753,Q13683_P05556,1
OSM,IL6ST,P13725,P40189,1
PLAT,ITGAM,P00750,P11215,1
DBH_SLC18A2,ADRB2,COMPLEX:P09172_Q05940,P07550,1
APP,SLC45A3,P05067,Q96JT2,1
CALM1,TRPC3,P0DP23,Q13507,1
COL6A6,ITGA11_ITGB1,A6NMZ7,Q9UKX5_P05556,1
NMS,GRM7,Q5H8A3,Q14831,1
ALDH1A2,CRABP2_RARA_RXRA,COMPLEX:O94788,NA_NA_P19793,1
ANGPTL2,TIE1,Q9UKU9,P35590,1
TGFB2,TGFBR1_TGFBR2,P61812,P36897_P37173,1
COL1A2,ITGAV,P08123,P06756,1
ALOX12,CYSLTR1,COMPLEX:P18054,Q9Y271,1
EBI3_IL12A,IL12RB2_IL6ST,COMPLEX:P29459_Q14213,Q99665_P40189,1
RSPO1,WNT10B,Q2MKA7,O00744,1
GDF5,ACVR2B_BMPR1B,P43026,Q13705_O00238,1
CD48,CD244,P09326,Q9BZW8,1
WNT3,FZD6_LRP5,P56703,O60353_O75197,1
SULT2A1,PPARA,COMPLEX:Q06520,Q07869,1
EBI3_IL27,IL27RA_IL6ST,COMPLEX:Q14213_Q8NEV9,Q6UWB1_P40189,1
LAMC2,ITGB4,Q13753,P16144,1
COL6A3,ITGA1,P12111,P56199,1
COL14A1,CD44,Q05707,P16070,1
FGF14,FGFR1,Q92915,P11362,1
NOTUM,WNT16,Q6P988,Q9UBV4,1
CCL16,CCR1,O15467,P32246,1
LAMB3,ITGA7_ITGB1,Q13751,Q13683_P05556,1
IFNL2,IFNLR1,Q8IZJ0,Q8IU57,1
IFNG,IFNG_IFNGR1,P01579,P01579_P15260,1
CCL7,ACKR1,P80098,Q16570,1
LPA,ITGAM,P08519,P11215,1
SLIT2,DCC,O94813,P43146,1
CXCL12,CXCR4,P48061,P61073,1
BMP8A,ACVR1_ACVR2B,Q7Z5Y6,Q04771_Q13705,1
CLEC2A,KLRF2,Q6UVW9,D3W0D1,1
KL,FGFR4,Q9UEF7,P22455,1
FBLN2,H3BM21,P98095,H3BM21,1
JAG1,CD46,P78504,P15529,1
WNT2,FZD6_LRP6,P09544,O60353_O75581,1
ZNRF3,FZD9_LRP5,Q9ULT6,O00144_O75197,1
THBS2,NOTCH4,P35442,Q99466,1
GAD1_SLC32A1,GABRA4_GABRB3_GABRG2,COMPLEX:Q99259_Q9H598,NA_NA_NA,1
GLS_SLC1A6,GRM3,COMPLEX:O94925_P48664,Q14832,1
GAD2_SLC6A11,GABBR2,COMPLEX:P48066_Q05329,O75899,1
SEMA4A,PLXNB3,Q9H3S1,Q9ULL4,1
CALCB,CALCRL_RAMP1,P10092,Q16602_O60894,1
FGA,TLR4,P02671,O00206,1
ANGPTL6,TEK,Q8NI99,Q02763,1
CXCL6,CXCR1,P80162,P25024,1
IFNA5,IFNAR1,P01569,P17181,1
GAD2_SLC6A13,GABBR1,COMPLEX:Q05329_Q9NSD5,Q9UBS5,1
NLGN3,NRXN1,Q9NZ94,P58400,1
FGF18,FGFR4,O76093,P22455,1
BMP10,ACVR2A_ACVRL1,O95393,P27037_P37023,1
SEMA3A,NRP1_PLXNA2,Q14563,O14786_O75051,1
CEACAM5,CEACAM6,P06731,P40199,1
PECAM1,PECAM1,P16284,P16284,1
TNXB,ITGA2B_ITGB3,P22105,P08514_P05106,1
APOE,LRP1,P02649,Q07954,1
COL1A1,SDC1,P02452,P18827,1
CALM2,GRM5,P0DP24,P41594,1
GLS_SLC1A2,GRIN1_GRIN2C,COMPLEX:O94925_P43004,NA_Q14957,1
FGF13,FGFR1,Q92913,P11362,1
BAMBI,ACVR2A_BMPR1A,Q13145,P27037_P36894,1
SLURP2,CHRNB3,P0DP57,Q05901,1
SLPI,CD4,P03973,P01730,1
LTC4S,CYSLTR1,COMPLEX:Q16873,Q9Y271,1
SEMA3A,NRP2,Q14563,O60462,1
NPB,ADRA2A,Q8NG41,P08913,1
BMP5,ACVRL1,P22003,P37023,1
KITLG,EPOR,P21583,P19235,1
CD276,TREML2,Q5ZPR3,Q5T2D2,1
AMH,AMHR2_BMPR1A,P03971,Q16671_P36894,1
COL18A1,ITGB3,P39060,P05106,1
RARRES2,CMKLR2,Q99969,P46091,1
CHRD,BMP5,Q9H2X0,P22003,1
FGF8,FGFR2,P55075,P21802,1
DDC,HTR2A,COMPLEX:P20711,P28223,1
PNOC,ADRA2A,Q13519,P08913,1
IFNA5,IFNA2_IFNAR1_IFNAR2,P01569,P01563_P17181_P48551,1
ALDH1A3,CRABP2_RARB,COMPLEX:P47895,NA_NA,1
THBS2,ITGA6,P35442,P23229,1
COL6A6,ITGA9_ITGB1,A6NMZ7,Q13797_P05556,1
RSPO2,WNT8A,Q6UXX9,Q9H1J5,1
NTF3,NTRK2,P20783,Q16620,1
IFNA1,IFNAR1,P01562,P17181,1
SFRP1,FZD6,Q8N474,O60353,1
GAD1_SLC6A13,GABRA4_GABRB3_GABRD,COMPLEX:Q99259_Q9NSD5,NA_NA_NA,1
GLS2_SLC1A2,GRM3,COMPLEX:P43004_Q9UI32,Q14832,1
SFRP1,WNT7A,Q8N474,O00755,1
GGT1,CYSLTR2,COMPLEX:P19440,Q9NS75,1
CCL19,CCR7,Q99731,P32248,1
