ligand,receptor,source,target,label
AFDN,F11R,P55196,Q9Y624,1
GLS_SLC1A1,GRM1,COMPLEX:O94925_P43005,Q13255,1
LAMA3,ITGA7_ITGB1,Q16787,Q13683_P05556,1
CD48,CD2,P09326,P06729,1
LGALS1,CD69,P09382,Q07108,1
GLS2_SLC1A7,GRIK3,COMPLEX:O00341_Q9UI32,Q13003,1
CHAT,CHRNA4_CHRNA6_CHRNB3,COMPLEX:P28329,P43681_Q15825_Q05901,1
CALM1,EGFR,P0DP23,P00533,1
DKK2,WNT2B,Q9UBU2,Q93097,1
PORCN,WNT2B,Q9H237,Q93097,1
GLS2_SLC1A6,GRIA2,COMPLEX:P48664_Q9UI32,P42262,1
COL1A1,DDR2,P02452,Q16832,1
RELN,ITGB1,P78509,P05556,1
LEFTY1,BMP8A,O75610,Q7Z5Y6,1
GNAI2,ADRA2B,P04899,P18089,1
PNMT,ADRA2B,COMPLEX:P11086,P18089,1
CGB8,LHCGR,P0DN86,P22888,1
CHAT_SLC18A3,CHRNA4_CHRNB2,COMPLEX:P28329_Q16572,P43681_P17787,1
HLA-B,CD8A,P01889,P01732,1
LAMB3,SV2C,Q13751,Q496J9,1
CALCB,GPR20,P10092,Q99678,1
GCG,PTH1R,P01275,Q03431,1
SST,GRM7,P61278,Q14831,1
GAD2_SLC6A8,GABRA3_GABRB3_GABRQ,COMPLEX:P48029_Q05329,NA_NA_NA,1
MYOC,FZD1,Q99972,Q9UP38,1
NRXN1,ADGRL1,P58400,O94910,1
TGFA,ERBB2,P01135,P04626,1
VEGFA,NRP1,P15692,O14786,1
CXCL11,ADRA2A,O14625,P08913,1
GLS2_SLC1A6,GRIK2_GRIK5,COMPLEX:P48664_Q9UI32,Q13002_NA,1
GDF3,ACVR2B,Q9NR23,Q13705,1
ACE,BDKRB2,P12821,P30411,1
ADM2,RAMP1,Q7Z4H4,O60894,1
CCL27,CCR10,Q9Y4X3,P46092,1
FRZB,WNT4,Q92765,P56705,1
PLG,ITGA9,P00747,Q13797,1
COL4A4,SDC4,P53420,P31431,1
SOSTDC1,WNT10A,Q6X4U4,Q9GZT5,1
LEP,LEPR,P41159,P48357,1
PDGFA,PDGFRB,P04085,P09619,1
