ligand,receptor,source,target,label
INHBA,TGFB1,P08476,P01137,1
CCL7,CCR1,P80098,P32246,1
KNG1,BDKRB1,P01042,P46663,1
KRTAP4-12,PDGFRB,Q9BQ66,P09619,1
CXCL11,ADRA2A,O14625,P08913,1
BMP4,BMPR1B_BMPR2,P12644,O00238_Q13873,1
LAMB3,SV2B,Q13751,Q7L1I2,1
LAMB1,ITGA9_ITGB1,P07942,Q13797_P05556,1
NPS,ADRB2,P0C0P6,P07550,1
CRH,PTH1R,P06850,Q03431,1
ADAM10,EPHA3,O14672,P29320,1
SOST,LRP5,Q9BQB4,O75197,1
NPS,ADRB3,P0C0P6,P13945,1
MFGE8,ITGB3,Q08431,P05106,1
GLS2_SLC17A7,GRIK2_GRIK4,COMPLEX:Q9P2U7_Q9UI32,Q13002_NA,1
SEMA4B,DCBLD2,Q9NPR2,Q96PD2,1
VEGFD,ITGA9,O43915,Q13797,1
ADM,TSHR,P35318,P16473,1
COL4A1,SDC1,P02462,P18827,1
PNOC,GRM7,Q13519,Q14831,1
CCL27,ACKR2,Q9Y4X3,O00590,1
LAMC1,ITGA7_ITGB1,P11047,Q13683_P05556,1
LAMB3,ITGA9_ITGB1,Q13751,Q13797_P05556,1
WNT7A,FZD3_LRP5,O00755,Q9NPG1_O75197,1
FGF14,FGFR4,Q92915,P22455,1
NRXN3,ADGRL1,Q9Y4C0,O94910,1
IAPP,VIPR1,P10997,P32241,1
GDF5,ACVR2B_BMPR1A,P43026,Q13705_P36894,1
CHAT_SLC5A7,CHRNA7,COMPLEX:P28329_Q9GZV3,COMPLEX:P36544,1
F2,GP1BA_GP1BB,P00734,P07359_P13224,1
WNT1,FZD7,P04628,O75084,1
PENK,MTNR1A,P01210,P48039,1
GAD2_SLC6A8,GABRA4_GABRB3_GABRG2,COMPLEX:P48029_Q05329,NA_NA_NA,1
SERPINF1,WNT8A,P36955,Q9H1J5,1
GAD2_SLC6A1,GABRA2_GABRB3_GABRG2,COMPLEX:P30531_Q05329,NA_NA_NA,1
CALCB,RAMP1,P10092,O60894,1
WNT1,FZD4_LRP6,P04628,Q9ULV1_O75581,1
PIP,NPTN,P12273,Q9Y639,1
CXCL5,CXCR2,P42830,P25025,1
DDC,HTR1B,COMPLEX:P20711,P28222,1
CXCL8,SDC2,P10145,P34741,1
TAFA5,FPR2,Q7Z5A7,P25090,1
IL4,IL13RA1,P05112,P78552,1
EFNB3,RHBDL2,Q15768,Q9NX52,1
SLURP1,CHRNA5,P55000,P30532,1
LAMA4,ITGAV,Q16363,P06756,1
GLS2_SLC17A8,GRM3,COMPLEX:Q8NDX2_Q9UI32,Q14832,1
NPVF,NPFFR1,Q9HCQ7,Q9GZQ6,1
COL9A3,MAG,Q14050,P20916,1
FN1,ITGB3,P02751,P05106,1
BMP15,ACVR2B,O95972,Q13705,1
FSHB,RAMP2,P01225,O60895,1
GAD1_SLC32A1,GABRA1_GABRB2_GABRG2,COMPLEX:Q99259_Q9H598,NA_NA_NA,1
PTGES,PTGER2,COMPLEX:O14684,P43116,1
SFRP2,WNT2B,Q96HF1,Q93097,1
CHAT,CHRNA7,COMPLEX:P28329,COMPLEX:P36544,1
PPY,NPY6R,P01298,Q99463,1
LAMC2,CD151,Q13753,P48509,1
TNN,ITGA9_ITGB1,Q9UQP3,Q13797_P05556,1
GAD2_SLC6A11,GABRA3_GABRB3_GABRG2,COMPLEX:P48066_Q05329,NA_NA_NA,1
BMP10,BMPR1B,O95393,O00238,1
GLS2_SLC1A1,GRIK3,COMPLEX:P43005_Q9UI32,Q13003,1
GDF3,ACVR1B,Q9NR23,P36896,1
WNT7A,FZD1_LRP6,O00755,Q9UP38_O75581,1
CXCL12,CCR4,P48061,P51679,1
SEMA6D,KDR,Q8NFY4,P35968,1
GAD2_SLC6A8,GABRA3_GABRB3_GABRE,COMPLEX:P48029_Q05329,NA_NA_NA,1
KITLG,KIT,P21583,P10721,1
TF,ADRB2,P02787,P07550,1
SLC18A1_TPH2,HTR1B,COMPLEX:P54219_Q8IWU9,P28222,1
CEACAM5,CEACAM6,P06731,P40199,1
L1CAM,ERBB3,P32004,P21860,1
COL6A3,SDC1,P12111,P18827,1
COL4A5,ITGA9_ITGB1,P29400,Q13797_P05556,1
ANGPTL4,TIE1,Q9BY76,P35590,1
GLS2_SLC1A1,GRIN1_GRIN2B,COMPLEX:P43005_Q9UI32,NA_NA,1
FGF17,FGFR3,O60258,P22607,1
IGFBP4,WNT8A,P22692,Q9H1J5,1
THBS1,ITGA3,P07996,P26006,1
INHBE,ACVR1C_ACVR2A,P58166,Q8NER5_P27037,1
PLG,F2RL1,P00747,P55085,1
LAMA1,ITGA3,P25391,P26006,1
GLS_SLC1A3,GRIK1,COMPLEX:O94925_P43003,P39086,1
BMP2,BMPR1B_BMPR2,P12643,O00238_Q13873,1
LAMB1,ITGB4,P07942,P16144,1
CYP19A1,NR1I2,COMPLEX:P11511,O75469,1
INSL5,RXFP3,Q9Y5Q6,Q9NSD7,1
LAMC1,DAG1,P11047,Q14118,1
LAMA2,A0A0C4DG17,P24043,A0A0C4DG17,1
CCN2,LRP1,P29279,Q07954,1
WNT10B,FZD4_LRP6,O00744,Q9ULV1_O75581,1
RSPO1,WNT7A,Q2MKA7,O00755,1
BST2,LILRA4,Q10589,P59901,1
PNMT_SLC18A1,ADRA1A,COMPLEX:P11086_P54219,P35348,1
SLITRK6,PTPRS,Q9H5Y7,Q13332,1
TCN2,CNR1,P20062,P21554,1
DUSP18,ITGA2,Q8NEJ0,P17301,1
RSPO3,WNT10B,Q9BXY4,O00744,1
CER1,WNT1,O95813,P04628,1
CYP3A4,NR1H4,COMPLEX:P08684,Q96RI1,1
BMP8B,ACVR2B,P34820,Q13705,1
ASIP,ATRN,P42127,O75882,1
SORBS1,ITGB5,Q9BX66,P18084,1
CXCL8,CD79A,P10145,P11912,1
WIF1,WNT6,Q9Y5W5,Q9Y6F9,1
GAD2_SLC32A1,GABRA4_GABRB3_GABRD,COMPLEX:Q05329_Q9H598,NA_NA_NA,1
LAMA5,ITGAV_ITGB8,O15230,P06756_P26012,1
TAFA4,FPR1,Q96LR4,P21462,1
ADAM2,CD9,Q99965,P21926,1
TNFRSF11B,TNFSF10,O00300,P50591,1
GLS2_SLC17A7,GRIA4,COMPLEX:Q9P2U7_Q9UI32,P48058,1
KLRD1,HLA-B,Q13241,P01889,1
LAMA1,SV2C,P25391,Q496J9,1
GAD2_SLC6A6,GABRA1_GABRB2_GABRG2,COMPLEX:P31641_Q05329,NA_NA_NA,1
CXCL8,ADRA2A,P10145,P08913,1
GDF7,TGFBR1,Q7Z4P5,P36897,1
GNAI2,ADCY7,P04899,P51828,1
CALM1,CNGA2,P0DP23,Q16280,1
APCDD1,FZD3_LRP5,Q8J025,Q9NPG1_O75197,1
TIMP3,KDR,P35625,P35968,1
EPHA7,EFNA4,Q15375,P52798,1
SLIT2,GPC1,O94813,P35052,1
LAMA5,SDC1,O15230,P18827,1
IFNA2,IFNA2_IFNAR1_IFNAR2,P01563,P01563_P17181_P48551,1
RYK,FZD7,P34925,O75084,1
DKK2,WNT10B,Q9UBU2,O00744,1
CCL16,HRH4,O15467,Q9H3N8,1
GLS_SLC17A8,GRIA2,COMPLEX:O94925_Q8NDX2,P42262,1
RPS27A,SMAD3,P62979,P84022,1
F8,LRP1,P00451,Q07954,1
WNT5A,MCAM,P41221,P43121,1
LAMB3,SV2A,Q13751,Q7L0J3,1
PENK,OPRL1,P01210,P41146,1
IAPP,RAMP2,P10997,O60895,1
SLC18A2_TPH2,HTR4,COMPLEX:Q05940_Q8IWU9,Q13639,1
SLITRK1,PTPRS,Q96PX8,Q13332,1
HSPG2,CHRM3,P98160,P20309,1
ALOX12,CYSLTR1,COMPLEX:P18054,Q9Y271,1
INHBE,ENG,P58166,P17813,1
IL13,IL13RA2_IL4R,P35225,Q14627_P24394,1
SFRP5,WNT9A,Q5T4F7,O14904,1
WNT1,FZD9_LRP6,P04628,O00144_O75581,1
APOA1,TREM2_TYROBP,P02647,Q9NZC2_O43914,1
TAC1,TACR3,P20366,P29371,1
NGF,BEX3,P01138,Q00994,1
INHBB,SMAD3,P09529,P84022,1
GAD2_SLC6A12,GABRA3_GABRB3_GABRQ,COMPLEX:P48065_Q05329,NA_NA_NA,1
TNXB,ITGAV_ITGB3,P22105,P06756_P05106,1
WNT9A,FZD5_LRP5,O14904,Q13467_O75197,1
GDF5,ACVR2A,P43026,P27037,1
GAD1_SLC6A8,GABRA6_GABRB3_GABRG2,COMPLEX:P48029_Q99259,NA_NA_NA,1
THBS1,TGFB1,P07996,P01137,1
ALDH1A3,CRABP2_RARB,COMPLEX:P47895,NA_NA,1
NTF4,NGFR,P34130,P08138,1
COL2A1,ITGAV_ITGB8,P02458,P06756_P26012,1
WNT1,FZD8_LRP5,P04628,Q9H461_O75197,1
LACRT,SDC1,Q9GZZ8,P18827,1
EPHA2,EFNA3,P29317,P52797,1
COL4A2,ITGB3,P08572,P05106,1
CXCL12,ACKR3,P48061,P25106,1
SHH,LRP2,Q15465,P98164,1
ROR2,FZD3,Q01974,Q9NPG1,1
WNT10B,FZD6_LRP5,O00744,O60353_O75197,1
TNFSF13B,TNFRSF13B,Q9Y275,O14836,1
CXCL3,MTNR1A,P19876,P48039,1
ALDH1A1,CRABP2_RARB,COMPLEX:P00352,NA_NA,1
CALM3,INSR,P0DP25,P06213,1
HLA-A,KIR3DL2,P04439,P43630,1
EGF,LRP2,P01133,P98164,1
BDNF,NGFR,P23560,P08138,1
SULT1A1,PPARG,COMPLEX:P50225,P37231,1
CCL14,CCR5,Q16627,P51681,1
WNT3A,FZD8_LRP5,P56704,Q9H461_O75197,1
ASIP,MC1R,P42127,Q01726,1
APOC4,VLDLR,P55056,P98155,1
SPP1,ITGA9,P10451,Q13797,1
TNFSF14,LTBR,O43557,P36941,1
APOA1,LRP2,P02647,P98164,1
FGB,ITGA5,P02675,P08648,1
TNC,PTPRZ1,P24821,P23471,1
LCN2,SLC22A17,P80188,Q8WUG5,1
KNG1,BDKRB2,P01042,P30411,1
GNAI2,S1PR3,P04899,Q99500,1
LAMB1,SV2C,P07942,Q496J9,1
AGRP,MC2R,O00253,Q01718,1
NTF3,NTRK2,P20783,Q16620,1
SLC18A1_TPH2,HTR1F,COMPLEX:P54219_Q8IWU9,P30939,1
CD177,PECAM1,Q8N6Q3,P16284,1
INHA_INHBB,ACVR1B_ACVR2B,COMPLEX:P05111_P09529,P36896_Q13705,1
